{'iterations': 2048, 'ep_len_mean': 0, 'ep_rew_mean': 0, 'fps': 0, 'time_elapsed': 0, 'approx_kl': 0, 'clip_fraction': 0, 'clip_range': 0, 'entropy_loss': 0, 'explained_variance': 0, 'learning_rate': 0, 'loss': 0, 'n_updates': 0, 'policy_gradient_loss': 0, 'std': 0, 'value_loss': 0}
{'iterations': 4096, 'ep_len_mean': 0, 'ep_rew_mean': 0, 'fps': 0, 'time_elapsed': 0, 'approx_kl': 525.29944, 'clip_fraction': 0.887451171875, 'clip_range': 0.2, 'entropy_loss': -4.257505264878273, 'explained_variance': 0.0001837015151977539, 'learning_rate': 0.0003, 'loss': 13529.3818359375, 'n_updates': 10, 'policy_gradient_loss': 0.2989337882114341, 'std': 1.0002739429473877, 'value_loss': 71518.27605590821}
{'iterations': 6144, 'ep_len_mean': 0, 'ep_rew_mean': 0, 'fps': 0, 'time_elapsed': 0, 'approx_kl': 154.49734, 'clip_fraction': 0.99072265625, 'clip_range': 0.2, 'entropy_loss': -4.257934120297432, 'explained_variance': 0.0783463716506958, 'learning_rate': 0.0003, 'loss': 3979.4248046875, 'n_updates': 20, 'policy_gradient_loss': 0.31396511944476513, 'std': 1.000537633895874, 'value_loss': 32924.516821289064}
{'iterations': 8192, 'ep_len_mean': 0, 'ep_rew_mean': 0, 'fps': 0, 'time_elapsed': 0, 'approx_kl': 799.2002, 'clip_fraction': 0.9966796875, 'clip_range': 0.2, 'entropy_loss': -4.258325235545636, 'explained_variance': 0.08913958072662354, 'learning_rate': 0.0003, 'loss': 8216.7412109375, 'n_updates': 30, 'policy_gradient_loss': 0.327349069644697, 'std': 1.000503420829773, 'value_loss': 26275.88398590088}
{'iterations': 10240, 'ep_len_mean': 0, 'ep_rew_mean': 0, 'fps': 0, 'time_elapsed': 0, 'approx_kl': 127.37254, 'clip_fraction': 0.99638671875, 'clip_range': 0.2, 'entropy_loss': -4.258311831951142, 'explained_variance': 0.510837733745575, 'learning_rate': 0.0003, 'loss': 1928.7916259765625, 'n_updates': 40, 'policy_gradient_loss': 0.325263480679132, 'std': 1.0004996061325073, 'value_loss': 8279.396007537842}
{'iterations': 12288, 'ep_len_mean': 0, 'ep_rew_mean': 0, 'fps': 0, 'time_elapsed': 0, 'approx_kl': 52.792828, 'clip_fraction': 0.99423828125, 'clip_range': 0.2, 'entropy_loss': -4.258395586907864, 'explained_variance': 0.7310515344142914, 'learning_rate': 0.0003, 'loss': 2588.074462890625, 'n_updates': 50, 'policy_gradient_loss': 0.31188681346829983, 'std': 1.0005364418029785, 'value_loss': 21748.522764587404}
{'iterations': 14336, 'ep_len_mean': 0, 'ep_rew_mean': 0, 'fps': 0, 'time_elapsed': 0, 'approx_kl': 196.7089, 'clip_fraction': 0.99658203125, 'clip_range': 0.2, 'entropy_loss': -4.258462329208851, 'explained_variance': 0.664587140083313, 'learning_rate': 0.0003, 'loss': 4734.8955078125, 'n_updates': 60, 'policy_gradient_loss': 0.3334038567962125, 'std': 1.0005531311035156, 'value_loss': 18080.91933822632}
{'iterations': 16384, 'ep_len_mean': 0, 'ep_rew_mean': 0, 'fps': 0, 'time_elapsed': 0, 'approx_kl': 230.72862, 'clip_fraction': 0.99443359375, 'clip_range': 0.2, 'entropy_loss': -4.258509346842766, 'explained_variance': 0.8437287211418152, 'learning_rate': 0.0003, 'loss': 2079.857666015625, 'n_updates': 70, 'policy_gradient_loss': 0.29149963179370386, 'std': 1.000566840171814, 'value_loss': 5527.415285873413}
{'iterations': 18432, 'ep_len_mean': 0, 'ep_rew_mean': 0, 'fps': 0, 'time_elapsed': 0, 'approx_kl': 344.26874, 'clip_fraction': 0.993994140625, 'clip_range': 0.2, 'entropy_loss': -4.258601829409599, 'explained_variance': 0.8846247345209122, 'learning_rate': 0.0003, 'loss': 4187.21142578125, 'n_updates': 80, 'policy_gradient_loss': 0.3419728097040206, 'std': 1.0005983114242554, 'value_loss': 13246.657987213135}
{'iterations': 20480, 'ep_len_mean': 0, 'ep_rew_mean': 0, 'fps': 0, 'time_elapsed': 0, 'approx_kl': 4900.212, 'clip_fraction': 0.99638671875, 'clip_range': 0.2, 'entropy_loss': -4.258650279045105, 'explained_variance': 0.44247812032699585, 'learning_rate': 0.0003, 'loss': 118791.9921875, 'n_updates': 90, 'policy_gradient_loss': 0.28964702629018574, 'std': 1.000613808631897, 'value_loss': 99255.31071472168}
{'iterations': 22528, 'ep_len_mean': 0, 'ep_rew_mean': 0, 'fps': 0, 'time_elapsed': 0, 'approx_kl': 6473.04, 'clip_fraction': 0.995068359375, 'clip_range': 0.2, 'entropy_loss': -4.2584870010614395, 'explained_variance': 0.8093517124652863, 'learning_rate': 0.0003, 'loss': 3004.8818359375, 'n_updates': 100, 'policy_gradient_loss': 0.32669793465174735, 'std': 1.0005567073822021, 'value_loss': 11893.817479324342}
{'iterations': 24576, 'ep_len_mean': 0, 'ep_rew_mean': 0, 'fps': 0, 'time_elapsed': 0, 'approx_kl': 209.78983, 'clip_fraction': 0.995947265625, 'clip_range': 0.2, 'entropy_loss': -4.25849923491478, 'explained_variance': 0.581345945596695, 'learning_rate': 0.0003, 'loss': 3956.349609375, 'n_updates': 110, 'policy_gradient_loss': 0.3324717601761222, 'std': 1.0005638599395752, 'value_loss': 19921.181620025636}
{'iterations': 26624, 'ep_len_mean': 0, 'ep_rew_mean': 0, 'fps': 0, 'time_elapsed': 0, 'approx_kl': 3605.4497, 'clip_fraction': 0.996533203125, 'clip_range': 0.2, 'entropy_loss': -4.258602598309517, 'explained_variance': 0.5614276826381683, 'learning_rate': 0.0003, 'loss': 3412.044921875, 'n_updates': 120, 'policy_gradient_loss': 0.33045648999977856, 'std': 1.00059974193573, 'value_loss': 15567.658135223388}
{'iterations': 28672, 'ep_len_mean': 0, 'ep_rew_mean': 0, 'fps': 0, 'time_elapsed': 0, 'approx_kl': 1919.5757, 'clip_fraction': 0.996875, 'clip_range': 0.2, 'entropy_loss': -4.258633722364903, 'explained_variance': 0.5746757090091705, 'learning_rate': 0.0003, 'loss': 2852.85595703125, 'n_updates': 130, 'policy_gradient_loss': 0.2995186644140631, 'std': 1.000607967376709, 'value_loss': 9990.512037658691}
{'iterations': 30720, 'ep_len_mean': 0, 'ep_rew_mean': 0, 'fps': 0, 'time_elapsed': 0, 'approx_kl': 540.8598, 'clip_fraction': 0.996875, 'clip_range': 0.2, 'entropy_loss': -4.258615146577358, 'explained_variance': 0.5589209198951721, 'learning_rate': 0.0003, 'loss': 114944.8046875, 'n_updates': 140, 'policy_gradient_loss': 0.31966544589959084, 'std': 1.0006014108657837, 'value_loss': 18639.982913589476}
{'iterations': 32768, 'ep_len_mean': 0, 'ep_rew_mean': 0, 'fps': 0, 'time_elapsed': 0, 'approx_kl': 506.5448, 'clip_fraction': 0.996875, 'clip_range': 0.2, 'entropy_loss': -4.2585997268557545, 'explained_variance': 0.8033628314733505, 'learning_rate': 0.0003, 'loss': 972.2864990234375, 'n_updates': 150, 'policy_gradient_loss': 0.3082384231965989, 'std': 1.000596284866333, 'value_loss': 16383.537768745422}
{'iterations': 34816, 'ep_len_mean': 0, 'ep_rew_mean': 0, 'fps': 0, 'time_elapsed': 0, 'approx_kl': 264.3375, 'clip_fraction': 0.99541015625, 'clip_range': 0.2, 'entropy_loss': -4.25859642624855, 'explained_variance': 0.8972279131412506, 'learning_rate': 0.0003, 'loss': 3590.504150390625, 'n_updates': 160, 'policy_gradient_loss': 0.2957730797235854, 'std': 1.0005953311920166, 'value_loss': 16291.249806785583}
{'iterations': 36864, 'ep_len_mean': 0, 'ep_rew_mean': 0, 'fps': 0, 'time_elapsed': 0, 'approx_kl': 1883.1907, 'clip_fraction': 0.996533203125, 'clip_range': 0.2, 'entropy_loss': -4.258635483682156, 'explained_variance': 0.8919899091124535, 'learning_rate': 0.0003, 'loss': 3247.355224609375, 'n_updates': 170, 'policy_gradient_loss': 0.3052189381502103, 'std': 1.0006096363067627, 'value_loss': 15038.373083496093}
{'iterations': 38912, 'ep_len_mean': 0, 'ep_rew_mean': 0, 'fps': 0, 'time_elapsed': 0, 'approx_kl': 1123.4717, 'clip_fraction': 0.99658203125, 'clip_range': 0.2, 'entropy_loss': -4.258646762371063, 'explained_variance': 0.726030170917511, 'learning_rate': 0.0003, 'loss': 744.4466552734375, 'n_updates': 180, 'policy_gradient_loss': 0.3517645006533712, 'std': 1.0006122589111328, 'value_loss': 2677.301605415344}
{'iterations': 40960, 'ep_len_mean': 0, 'ep_rew_mean': 0, 'fps': 0, 'time_elapsed': 0, 'approx_kl': 972.3447, 'clip_fraction': 0.996240234375, 'clip_range': 0.2, 'entropy_loss': -4.258797380328178, 'explained_variance': 0.8943420723080635, 'learning_rate': 0.0003, 'loss': 266.5590515136719, 'n_updates': 190, 'policy_gradient_loss': 0.35544031170429663, 'std': 1.000664234161377, 'value_loss': 2889.5516472816466}
{'iterations': 43008, 'ep_len_mean': 0, 'ep_rew_mean': 0, 'fps': 0, 'time_elapsed': 0, 'approx_kl': 162.67688, 'clip_fraction': 0.995849609375, 'clip_range': 0.2, 'entropy_loss': -4.258825024962425, 'explained_variance': 0.7908608913421631, 'learning_rate': 0.0003, 'loss': 1118.767578125, 'n_updates': 200, 'policy_gradient_loss': 0.3355164461885579, 'std': 1.0006765127182007, 'value_loss': 7789.01205406189}
{'iterations': 45056, 'ep_len_mean': 0, 'ep_rew_mean': 0, 'fps': 0, 'time_elapsed': 0, 'approx_kl': 788.67163, 'clip_fraction': 0.996826171875, 'clip_range': 0.2, 'entropy_loss': -4.2588047429919245, 'explained_variance': 0.8217017650604248, 'learning_rate': 0.0003, 'loss': 1155.8477783203125, 'n_updates': 210, 'policy_gradient_loss': 0.3336455725133419, 'std': 1.000664234161377, 'value_loss': 3719.5655561447143}
{'iterations': 47104, 'ep_len_mean': 0, 'ep_rew_mean': 0, 'fps': 0, 'time_elapsed': 0, 'approx_kl': 979.275, 'clip_fraction': 0.996875, 'clip_range': 0.2, 'entropy_loss': -4.258798813819885, 'explained_variance': 0.858730286359787, 'learning_rate': 0.0003, 'loss': 3238.950439453125, 'n_updates': 220, 'policy_gradient_loss': 0.30167299080640075, 'std': 1.0006628036499023, 'value_loss': 10708.438681793214}
{'iterations': 49152, 'ep_len_mean': 0, 'ep_rew_mean': 0, 'fps': 0, 'time_elapsed': 0, 'approx_kl': 401.84683, 'clip_fraction': 0.996728515625, 'clip_range': 0.2, 'entropy_loss': -4.258857673406601, 'explained_variance': 0.5728262066841125, 'learning_rate': 0.0003, 'loss': 3815.490478515625, 'n_updates': 230, 'policy_gradient_loss': 0.27362648632843045, 'std': 1.000683069229126, 'value_loss': 40982.90725784302}
{'iterations': 51200, 'ep_len_mean': 0, 'ep_rew_mean': 0, 'fps': 0, 'time_elapsed': 0, 'approx_kl': 632.8354, 'clip_fraction': 0.99677734375, 'clip_range': 0.2, 'entropy_loss': -4.258885334432125, 'explained_variance': 0.8507042080163956, 'learning_rate': 0.0003, 'loss': 1204.373779296875, 'n_updates': 240, 'policy_gradient_loss': 0.28515620091930033, 'std': 1.0006922483444214, 'value_loss': 6126.902669525147}
{'iterations': 53248, 'ep_len_mean': 0, 'ep_rew_mean': 0, 'fps': 0, 'time_elapsed': 0, 'approx_kl': 2325.1665, 'clip_fraction': 0.99599609375, 'clip_range': 0.2, 'entropy_loss': -4.2589584469795225, 'explained_variance': 0.8685871362686157, 'learning_rate': 0.0003, 'loss': 237.10107421875, 'n_updates': 250, 'policy_gradient_loss': 0.3296818534610793, 'std': 1.0007189512252808, 'value_loss': 2953.075360107422}
